session_id,datetime
1,2025-12-11 12:00:00.000000
1,2025-12-11 12:00:00.925999
1,2025-12-11 12:00:01.824344
1,2025-12-11 12:00:02.784411
1,2025-12-11 12:00:03.686616
1,2025-12-11 12:00:04.587744
1,2025-12-11 12:00:05.564222
1,2025-12-11 12:00:06.435135
1,2025-12-11 12:00:07.323239
1,2025-12-11 12:00:08.240607
1,2025-12-11 12:00:09.190089
1,2025-12-11 12:00:10.147485
1,2025-12-11 12:00:11.041062
1,2025-12-11 12:00:11.934377
1,2025-12-11 12:00:12.843664
1,2025-12-11 12:00:13.731038
1,2025-12-11 12:00:14.611278
1,2025-12-11 12:00:15.477715
1,2025-12-11 12:00:16.297429
1,2025-12-11 12:00:17.254095
1,2025-12-11 12:00:18.156231
1,2025-12-11 12:00:19.060968
1,2025-12-11 12:00:19.943467
1,2025-12-11 12:00:20.897009
1,2025-12-11 12:00:21.833059
1,2025-12-11 12:00:22.779148
1,2025-12-11 12:00:23.737753
1,2025-12-11 12:00:24.575142
1,2025-12-11 12:00:25.498848
1,2025-12-11 12:00:26.428872
1,2025-12-11 12:00:27.336086
1,2025-12-11 12:00:28.194483
1,2025-12-11 12:00:29.128237
1,2025-12-11 12:00:30.150337
1,2025-12-11 12:00:31.047550
1,2025-12-11 12:00:31.958816
1,2025-12-11 12:00:32.913615
1,2025-12-11 12:00:33.890479
1,2025-12-11 12:00:34.753615
1,2025-12-11 12:00:35.671991
1,2025-12-11 12:00:36.601032
1,2025-12-11 12:00:37.559282
1,2025-12-11 12:00:38.504397
1,2025-12-11 12:00:39.394741
1,2025-12-11 12:00:40.335006
1,2025-12-11 12:00:41.230231
1,2025-12-11 12:00:42.196116
1,2025-12-11 12:00:43.173675
1,2025-12-11 12:00:44.044102
1,2025-12-11 12:00:44.946965
1,2025-12-11 12:00:45.828964
1,2025-12-11 12:00:46.761305
1,2025-12-11 12:00:47.659716
1,2025-12-11 12:00:48.549625
1,2025-12-11 12:00:49.576406
1,2025-12-11 12:00:50.535104
1,2025-12-11 12:00:51.474070
1,2025-12-11 12:00:52.425235
1,2025-12-11 12:00:53.364260
1,2025-12-11 12:00:54.199786
1,2025-12-11 12:00:55.204379
1,2025-12-11 12:00:56.176992
1,2025-12-11 12:00:57.090018
1,2025-12-11 12:00:57.989181
1,2025-12-11 12:00:58.943634
1,2025-12-11 12:00:59.936745
1,2025-12-11 12:01:00.832247
1,2025-12-11 12:01:01.803062
1,2025-12-11 12:01:02.818631
1,2025-12-11 12:01:03.731306
1,2025-12-11 12:01:04.656491
1,2025-12-11 12:01:05.483013
1,2025-12-11 12:01:06.352849
1,2025-12-11 12:01:07.306103
1,2025-12-11 12:01:08.248532
1,2025-12-11 12:01:09.183004
1,2025-12-11 12:01:10.081690
1,2025-12-11 12:01:11.027738
1,2025-12-11 12:01:11.991122
1,2025-12-11 12:01:12.875834
1,2025-12-11 12:01:13.816202
1,2025-12-11 12:01:14.803233
1,2025-12-11 12:01:15.734730
1,2025-12-11 12:01:16.669194
1,2025-12-11 12:01:17.581210
1,2025-12-11 12:01:18.463822
1,2025-12-11 12:01:19.351427
1,2025-12-11 12:01:20.301669
1,2025-12-11 12:01:21.196805
1,2025-12-11 12:01:22.180616
1,2025-12-11 12:01:23.052239
1,2025-12-11 12:01:23.988132
1,2025-12-11 12:01:24.899420
1,2025-12-11 12:01:25.923846
1,2025-12-11 12:01:26.879754
1,2025-12-11 12:01:27.856096
1,2025-12-11 12:01:28.797373
1,2025-12-11 12:01:29.637601
1,2025-12-11 12:01:30.534792
1,2025-12-11 12:01:31.509189
1,2025-12-11 12:01:32.449103
1,2025-12-11 12:01:33.271842
1,2025-12-11 12:01:34.139622
1,2025-12-11 12:01:34.981762
1,2025-12-11 12:01:35.913908
1,2025-12-11 12:01:36.840865
1,2025-12-11 12:01:37.754854
1,2025-12-11 12:01:38.688753
1,2025-12-11 12:01:39.633298
1,2025-12-11 12:01:40.561186
1,2025-12-11 12:01:41.481924
1,2025-12-11 12:01:42.421552
1,2025-12-11 12:01:43.461752
1,2025-12-11 12:01:44.463187
1,2025-12-11 12:01:45.383230
1,2025-12-11 12:01:46.270026
1,2025-12-11 12:01:47.209900
1,2025-12-11 12:01:48.091929
1,2025-12-11 12:01:49.014061
1,2025-12-11 12:01:49.952439
1,2025-12-11 12:01:50.874365
1,2025-12-11 12:01:51.828976
1,2025-12-11 12:01:52.757217
1,2025-12-11 12:01:53.763485
1,2025-12-11 12:01:54.667602
1,2025-12-11 12:01:55.572022
1,2025-12-11 12:01:56.435751
1,2025-12-11 12:01:57.377191
1,2025-12-11 12:01:58.383590
1,2025-12-11 12:01:59.307311
1,2025-12-11 12:02:00.287263
1,2025-12-11 12:02:01.173068
1,2025-12-11 12:02:02.046900
1,2025-12-11 12:02:02.918965
1,2025-12-11 12:02:03.886582
1,2025-12-11 12:02:04.819719
1,2025-12-11 12:02:05.750274
1,2025-12-11 12:02:06.619431
1,2025-12-11 12:02:07.547723
1,2025-12-11 12:02:08.475583
1,2025-12-11 12:02:09.309752
1,2025-12-11 12:02:10.275987
1,2025-12-11 12:02:11.158824
1,2025-12-11 12:02:12.122815
1,2025-12-11 12:02:13.093967
1,2025-12-11 12:02:13.963060
1,2025-12-11 12:02:14.825268
1,2025-12-11 12:02:15.630659
1,2025-12-11 12:02:16.497393
1,2025-12-11 12:02:17.441682
1,2025-12-11 12:02:18.419126
1,2025-12-11 12:02:19.428674
1,2025-12-11 12:02:20.387960
1,2025-12-11 12:02:21.296810
1,2025-12-11 12:02:22.226417
1,2025-12-11 12:02:23.201527
1,2025-12-11 12:02:24.150123
1,2025-12-11 12:02:25.166705
1,2025-12-11 12:02:26.185496
1,2025-12-11 12:02:27.128514
1,2025-12-11 12:02:28.102870
1,2025-12-11 12:02:28.995564
1,2025-12-11 12:02:29.951066
1,2025-12-11 12:02:30.879455
1,2025-12-11 12:02:31.889367
1,2025-12-11 12:02:32.831529
1,2025-12-11 12:02:33.738081
1,2025-12-11 12:02:34.616439
1,2025-12-11 12:02:35.456386
1,2025-12-11 12:02:36.361452
1,2025-12-11 12:02:37.256911
1,2025-12-11 12:02:38.182701
1,2025-12-11 12:02:39.099868
1,2025-12-11 12:02:39.952977
1,2025-12-11 12:02:40.829667
1,2025-12-11 12:02:41.714412
1,2025-12-11 12:02:42.669778
1,2025-12-11 12:02:43.559574
1,2025-12-11 12:02:44.434505
1,2025-12-11 12:02:45.451758
1,2025-12-11 12:02:46.371320
1,2025-12-11 12:02:47.339566
1,2025-12-11 12:02:48.235942
1,2025-12-11 12:02:49.111813
1,2025-12-11 12:02:50.137848
1,2025-12-11 12:02:51.097559
1,2025-12-11 12:02:52.080157
1,2025-12-11 12:02:52.966670
1,2025-12-11 12:02:53.880963
1,2025-12-11 12:02:54.852812
1,2025-12-11 12:02:55.731352
1,2025-12-11 12:02:56.572856
1,2025-12-11 12:02:57.496314
1,2025-12-11 12:02:58.465459
1,2025-12-11 12:02:59.445232
1,2025-12-11 12:03:00.400063
1,2025-12-11 12:03:01.268713
1,2025-12-11 12:03:02.237087
1,2025-12-11 12:03:03.152611
1,2025-12-11 12:03:03.995621
1,2025-12-11 12:03:04.923614
1,2025-12-11 12:03:05.856482
1,2025-12-11 12:03:06.843968
1,2025-12-11 12:03:07.750701
1,2025-12-11 12:03:08.662513
1,2025-12-11 12:03:09.514101
1,2025-12-11 12:03:10.430716
1,2025-12-11 12:03:11.413264
1,2025-12-11 12:03:12.347128
1,2025-12-11 12:03:13.374101
1,2025-12-11 12:03:14.290544
1,2025-12-11 12:03:15.119621
1,2025-12-11 12:03:16.044369
1,2025-12-11 12:03:16.859138
1,2025-12-11 12:03:17.795440
1,2025-12-11 12:03:18.783225
1,2025-12-11 12:03:19.667926
1,2025-12-11 12:03:20.515467
1,2025-12-11 12:03:21.387985
1,2025-12-11 12:03:22.320079
1,2025-12-11 12:03:23.219250
1,2025-12-11 12:03:24.129307
1,2025-12-11 12:03:25.137237
1,2025-12-11 12:03:26.164735
1,2025-12-11 12:03:27.123800
1,2025-12-11 12:03:28.170955
1,2025-12-11 12:03:29.124395
1,2025-12-11 12:03:30.089589
1,2025-12-11 12:03:31.079878
1,2025-12-11 12:03:32.037952
1,2025-12-11 12:03:32.997157
1,2025-12-11 12:03:34.001737
1,2025-12-11 12:03:34.890458
1,2025-12-11 12:03:35.708212
1,2025-12-11 12:03:36.640264
1,2025-12-11 12:03:37.503840
1,2025-12-11 12:03:38.367162
1,2025-12-11 12:03:39.327036
1,2025-12-11 12:03:40.286375
1,2025-12-11 12:03:41.232582
1,2025-12-11 12:03:42.210900
1,2025-12-11 12:03:43.128273
1,2025-12-11 12:03:44.016283
1,2025-12-11 12:03:44.896983
1,2025-12-11 12:03:45.782879
1,2025-12-11 12:03:46.646471
1,2025-12-11 12:03:47.629146
1,2025-12-11 12:03:48.594224
1,2025-12-11 12:03:49.519146
1,2025-12-11 12:03:50.487210
1,2025-12-11 12:03:51.447856
1,2025-12-11 12:03:52.346385
1,2025-12-11 12:03:53.255955
1,2025-12-11 12:03:54.183093
1,2025-12-11 12:03:55.059085
1,2025-12-11 12:03:56.068294
1,2025-12-11 12:03:57.059628
1,2025-12-11 12:03:58.026417
1,2025-12-11 12:03:58.937426
1,2025-12-11 12:03:59.957404
1,2025-12-11 12:04:00.886796
1,2025-12-11 12:04:01.808256
1,2025-12-11 12:04:02.796861
1,2025-12-11 12:04:03.701655
1,2025-12-11 12:04:04.601820
1,2025-12-11 12:04:05.556941
1,2025-12-11 12:04:06.611762
1,2025-12-11 12:04:07.568982
1,2025-12-11 12:04:08.436725
1,2025-12-11 12:04:09.414362
1,2025-12-11 12:04:10.435818
1,2025-12-11 12:04:11.361558
1,2025-12-11 12:04:12.300989
1,2025-12-11 12:04:13.155498
1,2025-12-11 12:04:14.146461
1,2025-12-11 12:04:15.149603
1,2025-12-11 12:04:16.064142
1,2025-12-11 12:04:17.009141
1,2025-12-11 12:04:17.815056
1,2025-12-11 12:04:18.732625
1,2025-12-11 12:04:19.595848
1,2025-12-11 12:04:20.508162
1,2025-12-11 12:04:21.364081
1,2025-12-11 12:04:22.242786
1,2025-12-11 12:04:23.190272
1,2025-12-11 12:04:24.172127
1,2025-12-11 12:04:25.106609
1,2025-12-11 12:04:26.004687
1,2025-12-11 12:04:26.974755
1,2025-12-11 12:04:27.888397
1,2025-12-11 12:04:28.766131
1,2025-12-11 12:04:29.736769
1,2025-12-11 12:04:30.596644
1,2025-12-11 12:04:31.548185
1,2025-12-11 12:04:32.486727
1,2025-12-11 12:04:33.377526
1,2025-12-11 12:04:34.351744
1,2025-12-11 12:04:35.293871
